Date_id,date_type,date,contact_id
1,Birthdate,1986-06-07,2
2,Birthdate,1965-06-23,3
3,Birthdate,1972-05-11,5
4,Birthdate,1984-08-19,6
5,Birthdate,1987-05-13,11
6,Birthdate,1994-09-15,12
7,Birthdate,1974-11-26,13
8,Birthdate,1993-12-01,14
9,Birthdate,1986-12-30,15
10,Birthdate,1986-06-11,23
11,Birthdate,1996-04-27,24
12,Birthdate,1979-12-31,25
13,Birthdate,1994-02-25,26
14,Birthdate,1979-06-09,27
15,Birthdate,1978-11-06,28
16,Birthdate,1974-09-21,30
17,Birthdate,1971-12-02,32
18,Birthdate,1970-03-31,34
19,Birthdate,1981-02-06,36
20,Birthdate,1966-09-21,37
21,Birthdate,1989-08-18,40
22,Birthdate,1978-06-16,42
23,Birthdate,1979-12-24,43
24,Birthdate,1981-06-05,44
25,Birthdate,1983-05-07,45
26,Birthdate,1966-11-11,46
27,Birthdate,1969-08-06,47
28,Birthdate,1964-02-15,48
29,Birthdate,1965-03-09,49
30,Birthdate,1991-09-13,50
31,Birthdate,1977-02-17,52
32,Birthdate,1969-05-11,54
33,Birthdate,1967-11-07,56
34,Birthdate,1995-04-04,58
35,Birthdate,1974-07-09,60
36,Birthdate,1964-03-21,62
37,Birthdate,1977-02-02,63
38,Birthdate,1985-02-07,64
39,Birthdate,1978-03-14,65
40,Birthdate,1981-03-23,68
41,Birthdate,1994-11-15,69
42,Birthdate,1992-10-03,71
43,Birthdate,1970-08-13,75
44,Birthdate,1976-10-01,77
45,Birthdate,1990-02-06,78
46,Birthdate,1990-09-06,81
47,Birthdate,1985-03-14,82
48,Birthdate,1978-06-13,83
49,Birthdate,1991-03-24,84
50,Birthdate,1992-11-13,87
51,Birthdate,1993-07-09,90
52,Birthdate,1969-03-05,91
53,Birthdate,1965-02-20,95
54,Birthdate,1977-08-30,96
55,Birthdate,1992-06-21,97
56,Birthdate,1993-03-25,98
57,Birthdate,1969-03-21,99
58,Birthdate,1966-03-19,101
59,Birthdate,1969-05-23,103
60,Birthdate,1995-03-25,105
61,Birthdate,1993-04-11,107
62,Birthdate,1976-10-10,108
63,Birthdate,1964-11-17,113
64,Birthdate,1974-05-20,115
65,Birthdate,1978-07-10,118
66,Birthdate,1994-02-04,122
67,Birthdate,1980-03-14,123
68,Birthdate,1979-12-08,126
69,Birthdate,1978-09-27,127
70,Birthdate,1979-12-25,128
71,Birthdate,1989-04-27,129
72,Birthdate,1970-09-04,130
73,Birthdate,1969-12-28,131
74,Birthdate,1984-08-06,132
75,Birthdate,1964-02-28,135
76,Birthdate,1987-08-30,136
77,Birthdate,1968-09-01,137
78,Birthdate,1991-12-17,139
79,Birthdate,1972-03-15,140
80,Birthdate,1976-06-03,141
81,Birthdate,1982-02-13,142
82,Birthdate,1993-05-27,143
83,Birthdate,1964-12-02,145
84,Birthdate,1982-09-18,147
85,Birthdate,1977-02-10,150
86,Birthdate,1978-04-24,151
87,Birthdate,1985-04-06,153
88,Birthdate,1992-05-02,156
89,Birthdate,1974-11-08,158
